Facility_Name	Process	Street	City	State	Zip	Latitude	Longitude	Accidents	Total_No_Chemicals	Chemical_Names
Aguas Buenas Filtration Plant	3	"Carr.173, Km 0.3"	Aguas Buenas	PR	703	18.261636	-66.103857	0	2	Public OCA Chemical; Chlorine
Anasco Filtration Plant	3	State Road 109 Km 5.4 Interior	Anasco	PR	610	18.285948	-67.144161	0	2	Public OCA Chemical; Chlorine
Espino Lares Filtration Plant	3	State Road PR-124 Km7.9	Lares	PR	669	18.294354	-66.884391	0	2	Public OCA Chemical; Chlorine
Las Marias Potable Water Filtration Plant	3	PR-119 Km. 35.8	Las Marias	PR	670	18.296381	-67.146608	0	2	Public OCA Chemical; Chlorine
Morovis Sur Filtration Plant	3	State Road 618 Km. 0.3	Morovis	PR	687	18.329095	-66.40424	0	2	Public OCA Chemical; Chlorine
Acueducto Regional del Noreste (PF Fajardo Nueva)	3	State Road PR-53 Exit 2	Fajardo	PR	738	18.332258	-65.659254	0	2	Public OCA Chemical; Chlorine
San Sebastian Filtration Plant	3	Carretera 449 Km. 0.4 Interior	San Sebastian	PR	685	18.341548	-66.99628	0	2	Public OCA Chemical; Chlorine
Mayaguez Regional Wastewater Treatment Plant	3	PR Road # 342 Km. 0.5	Mayaguez	PR	783	18.342583	-66.311101	0	2	Public OCA Chemical; Chlorine
Negros-Corozal Filtration Plant	3	PR-805 Km-2.0	Corozal	PR	783	18.342583	-66.311101	0	2	Public OCA Chemical; Chlorine
Puerto Nuevo Regional Wastewater Treatment Plant	3	"Ave. Kennedy, Km.2.0 Calle Marginal"	San Juan	PR	926	18.379249	-66.060219	0	2	Public OCA Chemical; Chlorine
San Juan Chlorine Warehouse Distribution Center	3	"Ave. Kennedy, Km.2.0 Calle Marginal"	San Juan	PR	926	18.379249	-66.060219	0	2	Public OCA Chemical; Chlorine
Canovanas Nueva Water Filtration Plant	3	PR # 3 Km. 18.4	Canovanas	PR	729	18.379881	-65.908969	0	2	Public OCA Chemical; Chlorine
Aguada-Aguadilla Wastewater Treatment Plant	3	State Road 115 Km. 25 Interior	Aguada	PR	602	18.383005	-67.186553	0	2	Public OCA Chemical; Chlorine
Rio Grande El Yunque Filtration Plant	3	PR-995	Rio Grande	PR	745	18.383385	-65.838061	0	2	Public OCA Chemical; Chlorine
Los Filtros Filtration Plant	3	"Carr. 833, Km 14.8"	Guaynabo	PR	965	18.38626	-66.117485	0	2	Public OCA Chemical; Chlorine
La PlataToa Alta Filtration Plant (Enrique Ortega)	3	"Carr. 827, Km 5.6"	Toa Alta	PR	953	18.389298	-66.248096	0	2	Public OCA Chemical; Chlorine
SUIZA DAIRY CORPORATION	3	SAN PATRICIO & DE DIEGO AVENUES	SAN JUAN	PR	921	18.391717	-66.090591	2	2	Public OCA Chemical; Ammonia (anhydrous)
Sergio Cuevas Filtration Plant	3	"Carr. 181, km 30"	Trujillo Alto	PR	676	18.399405	-67.113279	0	2	Public OCA Chemical; Chlorine
Flexitank Depot	2	Building 1026 Street #28	San Juan	PR	920	18.41021	-66.087732	0	3	"Public OCA Chemical; Toluene 2,4-diisocyanate  [Benzene, 2,4-diisocyanato-1-methyl-]; Ammonia (anhydrous)"
Tech Aerofoam Products International	2	Rosendo Vela Lot # 6	Carolina	PR	987	18.410228	-65.97941	0	2	"Public OCA Chemical; Toluene diisocyanate (unspecified isomer)  [Benzene, 1,3-diisocyanatomethyl-]"
Aguadilla Nueva Filtration Plant	3	"Carr. 459, Km 0.3"	Aguadilla	PR	603	18.433236	-67.151954	0	2	Public OCA Chemical; Chlorine
Culebrinas Filtration Plant	3	State Road PR-443 Km-5.9	Aguadilla	PR	603	18.433236	-67.151954	0	2	Public OCA Chemical; Chlorine
Carolina Regional Wastewater Treatment Plant	3	PR Road 187 Km. 16.5 Bo. Torrecilla	Loiza	PR	772	18.433938	-65.880795	0	2	Public OCA Chemical; Chlorine
Mays Ochoa Corporation	3	"Road PR-869, St. 2 #515 Palmas Ward"	Catano	PR	962	18.444331	-66.138606	0	4	Public OCA Chemical; Ammonia (anhydrous); Chlorine; Ethylene oxide  [Oxirane]
Linde Gas Puerto Rico Inc - Catano	3	Road 869 KM 1.8	Catano	PR	962	18.444331	-66.138606	0	4	Public OCA Chemical; Sulfur dioxide (anhydrous); Ammonia (anhydrous); Chlorine
"Water Treatment Specialists, Inc."	3	"P. R. Road 869, Km 2.0"	Catano	PR	962	18.444331	-66.138606	0	2	Public OCA Chemical; Ammonia (conc 20% or greater)
Bacardi Corporation	3	"Road #165, KM 6.2"	CataAno	PR	962	18.444331	-66.138606	0	2	Public OCA Chemical; Flammable Mixture
Arecibo Regional Wastewater Treatment Plant	3	"PR Road 681, Km. 4.0"	Arecibo	PR	612	18.471326	-66.728149	0	2	Public OCA Chemical; Chlorine
Matadero Tank and Chlorination Station	3	Carretera 636 Km. 0.1 Bo. Tanama	Arecibo	PR	612	18.471326	-66.728149	0	2	Public OCA Chemical; Chlorine
"PRASA, North Coast Superaqueduct Project"	3	"Bo. Sabana Hoyos, Sector BallajA!"	Arecibo	PR	612	18.471326	-66.728149	0	2	Public OCA Chemical; Chlorine
Camuy Hatillo Wastewater Treatment Plant	3	PR-485 Km. 3.5	Camuy	PR	627	18.485866	-66.844057	0	2	Public OCA Chemical; Chlorine
Isabela Filtration Plant	3	PR-112 Km-2.1	Isabela	PR	662	18.501226	-67.02279	0	2	Public OCA Chemical; Chlorine
Puna Geothermal Venture	3	14-3860 Kapoho Pahoa Road	Pahoa	HI	96778	19.49391743	-154.8556001	0	2	Public OCA Chemical; Pentane
BEI Hawaii - Hilo Main Facility	3	430 Kekuanaoa Street	Hilo	HI	96720	19.71164967	-155.0722902	0	2	Public OCA Chemical; Chlorine
"Hamakua Energy Partners, L.P."	3	P.O. Box 40	Honokaa	HI	96727	20.087407	-155.518923	0	2	Public OCA Chemical; Ammonia (anhydrous)
Kihei WWTP	3	480 Welakahao Street	Kihei	HI	96753	20.733086	-156.44971	0	2	Public OCA Chemical; Chlorine
Wailuku / Kahului WWRF	3	281 Amala Place	Kahului	HI	96732	20.89493105	-156.4586309	0	2	Public OCA Chemical; Chlorine
"BEI Hawaii - Wailuku Facility, Maui"	3	300 Pakana Street	Wailuku	HI	96793	20.896769	-156.504013	0	2	Public OCA Chemical; Chlorine
Lahaina WWRF	3	3300 Honoapiilani Highway	Lahaina	HI	96761	20.920697	-156.678779	0	2	Public OCA Chemical; Chlorine
East Honolulu WWTP	3	8480 Kalanianaole Hwy.	Honolulu	HI	96825	21.28816302	-157.6721999	0	3	Public OCA Chemical; Sulfur dioxide (anhydrous); Chlorine
"AES Hawaii, Inc."	3	91-086 Kaomi Loop	Kapolei	HI	96707	21.30121465	-158.1066464	0	2	Public OCA Chemical; Ammonia (anhydrous)
